Year,Units,Series,data.wastemanagement,Value
2012,EN_MWT_RCYR,TOTAL,,100.0
2013,EN_MWT_RCYR,TOTAL,,100.0
2014,EN_MWT_RCYR,TOTAL,,100.0
2015,EN_MWT_RCYR,TOTAL,,100.0
2016,EN_MWT_RCYR,TOTAL,,100.0
2012,EN_MWT_RCYR,INCINERATION,,69.8
2013,EN_MWT_RCYR,INCINERATION,,67.3
2014,EN_MWT_RCYR,INCINERATION,,65.4
2015,EN_MWT_RCYR,INCINERATION,,66.7
2016,EN_MWT_RCYR,INCINERATION,,64.9
2012,EN_MWT_RCYR,LANDFILL,,14.2
2013,EN_MWT_RCYR,LANDFILL,,15.4
2014,EN_MWT_RCYR,LANDFILL,,16.6
2015,EN_MWT_RCYR,LANDFILL,,12.5
2016,EN_MWT_RCYR,LANDFILL,,16.8
2012,EN_MWT_RCYR,RECYCLING,,13.7
2013,EN_MWT_RCYR,RECYCLING,,15.6
2014,EN_MWT_RCYR,RECYCLING,,15.4
2015,EN_MWT_RCYR,RECYCLING,,18.8
2016,EN_MWT_RCYR,RECYCLING,,16.3
2012,EN_MWT_RCYR,POLLUTING,,2.3
2013,EN_MWT_RCYR,POLLUTING,,1.6
2014,EN_MWT_RCYR,POLLUTING,,2.6
2015,EN_MWT_RCYR,POLLUTING,,2.0
2016,EN_MWT_RCYR,POLLUTING,,2.0
2012,EN_MWT_RCYV,TOTAL,,43866.0
2013,EN_MWT_RCYV,TOTAL,,45300.0
2014,EN_MWT_RCYV,TOTAL,,51079.0
2015,EN_MWT_RCYV,TOTAL,,49902.0
2016,EN_MWT_RCYV,TOTAL,,51885.0
2012,EN_MWT_RCYV,INCINERATION,,30638.0
2013,EN_MWT_RCYV,INCINERATION,,30490.0
2014,EN_MWT_RCYV,INCINERATION,,33396.0
2015,EN_MWT_RCYV,INCINERATION,,33282.0
2016,EN_MWT_RCYV,INCINERATION,,33677.0
2012,EN_MWT_RCYV,LANDFILL,,6222.0
2013,EN_MWT_RCYV,LANDFILL,,6993.0
2014,EN_MWT_RCYV,LANDFILL,,8487.0
2015,EN_MWT_RCYV,LANDFILL,,6237.0
2016,EN_MWT_RCYV,LANDFILL,,8691.0
2012,EN_MWT_RCYV,RECYCLING,,6008.0
2013,EN_MWT_RCYV,RECYCLING,,7084.0
2014,EN_MWT_RCYV,RECYCLING,,7869.0
2015,EN_MWT_RCYV,RECYCLING,,9385.0
2016,EN_MWT_RCYV,RECYCLING,,8482.0
2012,EN_MWT_RCYV,POLLUTING,,998.0
2013,EN_MWT_RCYV,POLLUTING,,733.0
2014,EN_MWT_RCYV,POLLUTING,,1327.0
2015,EN_MWT_RCYV,POLLUTING,,998.0
2016,EN_MWT_RCYV,POLLUTING,,1035.0
2012,data.percent,,data.recycling,13.7
2012,data.tonnes,,,43866.0
2012,data.tonnes,,data.incineration,30638.0
2012,data.tonnes,,data.landfill,6222.0
2012,data.tonnes,,data.recycling,6008.0
2012,data.tonnes,,data.extraordinarypolluting,998.0
2013,data.percent,,data.recycling,15.6
2013,data.tonnes,,,45300.0
2013,data.tonnes,,data.incineration,30490.0
2013,data.tonnes,,data.landfill,6993.0
2013,data.tonnes,,data.recycling,7084.0
2013,data.tonnes,,data.extraordinarypolluting,733.0
2014,data.percent,,data.recycling,15.4
2014,data.tonnes,,,51079.0
2014,data.tonnes,,data.incineration,33396.0
2014,data.tonnes,,data.landfill,8487.0
2014,data.tonnes,,data.recycling,7869.0
2014,data.tonnes,,data.extraordinarypolluting,1327.0
2015,data.percent,,data.recycling,18.8
2015,data.tonnes,,,49902.0
2015,data.tonnes,,data.incineration,33282.0
2015,data.tonnes,,data.landfill,6237.0
2015,data.tonnes,,data.recycling,9385.0
2015,data.tonnes,,data.extraordinarypolluting,998.0
2016,data.percent,,data.recycling,16.3
2016,data.tonnes,,,51885.0
2016,data.tonnes,,data.incineration,33677.0
2016,data.tonnes,,data.landfill,8691.0
2016,data.tonnes,,data.recycling,8482.0
2016,data.tonnes,,data.extraordinarypolluting,1035.0
