Year,Series,energy source,Units,data.energysource,Value
2000,EG_EGY_RNEW,TOTAL,WPERCAP,,704.756831146922
2000,EG_EGY_RNEW,HYDRO,WPERCAP,,701.427271314732
2000,EG_EGY_RNEW,WIND,WPERCAP,,3.32955983219018
2000,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2000,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2000,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2001,EG_EGY_RNEW,TOTAL,WPERCAP,,694.224272704413
2001,EG_EGY_RNEW,HYDRO,WPERCAP,,690.9444729908489
2001,EG_EGY_RNEW,WIND,WPERCAP,,3.27979971356416
2001,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2001,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2001,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2002,EG_EGY_RNEW,TOTAL,WPERCAP,,682.30414647512
2002,EG_EGY_RNEW,HYDRO,WPERCAP,,679.0806623185449
2002,EG_EGY_RNEW,WIND,WPERCAP,,3.22348415657537
2002,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2002,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2002,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2003,EG_EGY_RNEW,TOTAL,WPERCAP,,713.2058316682
2003,EG_EGY_RNEW,HYDRO,WPERCAP,,668.1679300538129
2003,EG_EGY_RNEW,WIND,WPERCAP,,45.0379016143868
2003,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2003,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2003,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2004,EG_EGY_RNEW,TOTAL,WPERCAP,,704.219470948076
2004,EG_EGY_RNEW,HYDRO,WPERCAP,,659.749044825354
2004,EG_EGY_RNEW,WIND,WPERCAP,,44.4704261227217
2004,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2004,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2004,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2005,EG_EGY_RNEW,TOTAL,WPERCAP,,740.5256882160819
2005,EG_EGY_RNEW,HYDRO,WPERCAP,,655.29576442532
2005,EG_EGY_RNEW,WIND,WPERCAP,,85.2299237907616
2005,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2005,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2005,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2006,EG_EGY_RNEW,TOTAL,WPERCAP,,740.7330581426701
2006,EG_EGY_RNEW,HYDRO,WPERCAP,,655.479267356718
2006,EG_EGY_RNEW,WIND,WPERCAP,,85.2537907859528
2006,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2006,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2006,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2007,EG_EGY_RNEW,TOTAL,WPERCAP,,741.009732107655
2007,EG_EGY_RNEW,HYDRO,WPERCAP,,655.724097860596
2007,EG_EGY_RNEW,WIND,WPERCAP,,85.2856342470586
2007,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2007,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2007,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2008,EG_EGY_RNEW,TOTAL,WPERCAP,,739.605447108165
2008,EG_EGY_RNEW,HYDRO,WPERCAP,,654.48143737379
2008,EG_EGY_RNEW,WIND,WPERCAP,,85.1240097343758
2008,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2008,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2008,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2009,EG_EGY_RNEW,TOTAL,WPERCAP,,736.9952635000569
2009,EG_EGY_RNEW,HYDRO,WPERCAP,,652.17166974522
2009,EG_EGY_RNEW,WIND,WPERCAP,,84.8235937548371
2009,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2009,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2009,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2010,EG_EGY_RNEW,TOTAL,WPERCAP,,735.6061386342569
2010,EG_EGY_RNEW,HYDRO,WPERCAP,,650.942424554537
2010,EG_EGY_RNEW,WIND,WPERCAP,,84.6637140797199
2010,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2010,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2010,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2011,EG_EGY_RNEW,TOTAL,WPERCAP,,736.919219538368
2011,EG_EGY_RNEW,HYDRO,WPERCAP,,652.104377972905
2011,EG_EGY_RNEW,WIND,WPERCAP,,84.8148415654632
2011,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2011,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2011,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2012,EG_EGY_RNEW,TOTAL,WPERCAP,,991.833059031767
2012,EG_EGY_RNEW,HYDRO,WPERCAP,,813.5887960749
2012,EG_EGY_RNEW,WIND,WPERCAP,,178.244262956867
2012,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2012,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2012,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2013,EG_EGY_RNEW,TOTAL,WPERCAP,,995.9670713454179
2013,EG_EGY_RNEW,HYDRO,WPERCAP,,816.9798769333111
2013,EG_EGY_RNEW,WIND,WPERCAP,,178.987194412107
2013,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2013,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2013,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
2014,EG_EGY_RNEW,TOTAL,WPERCAP,,1239.91180630668
2014,EG_EGY_RNEW,HYDRO,WPERCAP,,817.4556951493471
2014,EG_EGY_RNEW,WIND,WPERCAP,,422.456111157334
2014,EG_EGY_RNEW,SOLAR,WPERCAP,,0.0
2014,EG_EGY_RNEW,OCEAN,WPERCAP,,0.0
2014,EG_EGY_RNEW,BIOFUEL,WPERCAP,,0.0
