Year,Series,Units,Value
1990,EN_ATM_GHGT_AIP,CO2_EMIS,0.81
1991,EN_ATM_GHGT_AIP,CO2_EMIS,0.78499586190514
1992,EN_ATM_GHGT_AIP,CO2_EMIS,0.7748076529339
1993,EN_ATM_GHGT_AIP,CO2_EMIS,0.66405315203216
1994,EN_ATM_GHGT_AIP,CO2_EMIS,0.68695053193825
1995,EN_ATM_GHGT_AIP,CO2_EMIS,0.67713494787723
1996,EN_ATM_GHGT_AIP,CO2_EMIS,0.69750391122653
1997,EN_ATM_GHGT_AIP,CO2_EMIS,0.69333302655373
1998,EN_ATM_GHGT_AIP,CO2_EMIS,0.73803183006083
1999,EN_ATM_GHGT_AIP,CO2_EMIS,0.76956590160124
2000,EN_ATM_GHGT_AIP,CO2_EMIS,0.80899266711242
2001,EN_ATM_GHGT_AIP,CO2_EMIS,0.98616687273745
2002,EN_ATM_GHGT_AIP,CO2_EMIS,0.93749966765133
2003,EN_ATM_GHGT_AIP,CO2_EMIS,0.94314854688244
2004,EN_ATM_GHGT_AIP,CO2_EMIS,0.94653015834074
2005,EN_ATM_GHGT_AIP,CO2_EMIS,0.94525621564841
2006,EN_ATM_GHGT_AIP,CO2_EMIS,0.93234406616516
2007,EN_ATM_GHGT_AIP,CO2_EMIS,0.95979412872527
2008,EN_ATM_GHGT_AIP,CO2_EMIS,0.89239197402528
2009,EN_ATM_GHGT_AIP,CO2_EMIS,0.92375456502523
2010,EN_ATM_GHGT_AIP,CO2_EMIS,1.00081558658348
2011,EN_ATM_GHGT_AIP,CO2_EMIS,0.88222215250949
2012,EN_ATM_GHGT_AIP,CO2_EMIS,0.97447244775144
2013,EN_ATM_GHGT_AIP,CO2_EMIS,0.95219648536849
2014,EN_ATM_GHGT_AIP,CO2_EMIS,0.99043285202834
2015,EN_ATM_GHGT_AIP,CO2_EMIS,0.96985247285307
2016,EN_ATM_GHGT_AIP,CO2_EMIS,0.9784196323454
2017,EN_ATM_GHGT_AIP,CO2_EMIS,1.14918085334615
2018,EN_ATM_GHGT_AIP,CO2_EMIS,1.24384747592317
2019,EN_ATM_GHGT_AIP,CO2_EMIS,1.2931245260821
2020,EN_ATM_GHGT_AIP,CO2_EMIS,1.33149617227421
2021,EN_ATM_GHGT_AIP,CO2_EMIS,1.33904873665974
