Year,Series,index,Units,Value
1993,RL_INDEX,ER_RSK_LST_LOWER,NO,0.82895803859118
1994,RL_INDEX,ER_RSK_LST_LOWER,NO,0.88716435313648
1995,RL_INDEX,ER_RSK_LST_LOWER,NO,0.92714700694332
1996,RL_INDEX,ER_RSK_LST_LOWER,NO,0.83452684167269
1997,RL_INDEX,ER_RSK_LST_LOWER,NO,0.88612112998897
1998,RL_INDEX,ER_RSK_LST_LOWER,NO,0.92214945129365
1999,RL_INDEX,ER_RSK_LST_LOWER,NO,0.83616268651819
2000,RL_INDEX,ER_RSK_LST_LOWER,NO,0.88667318146156
2001,RL_INDEX,ER_RSK_LST_LOWER,NO,0.9171255027363
2002,RL_INDEX,ER_RSK_LST_LOWER,NO,0.843178725
2003,RL_INDEX,ER_RSK_LST_LOWER,NO,0.8881749875
2004,RL_INDEX,ER_RSK_LST_LOWER,NO,0.91460110267167
2005,RL_INDEX,ER_RSK_LST_LOWER,NO,0.843319325
2006,RL_INDEX,ER_RSK_LST_LOWER,NO,0.88761273541667
2007,RL_INDEX,ER_RSK_LST_LOWER,NO,0.91292652437583
2008,RL_INDEX,ER_RSK_LST_LOWER,NO,0.84788996333333
2009,RL_INDEX,ER_RSK_LST_LOWER,NO,0.88842961458333
2010,RL_INDEX,ER_RSK_LST_LOWER,NO,0.91156518875
2011,RL_INDEX,ER_RSK_LST_LOWER,NO,0.848827938125
2012,RL_INDEX,ER_RSK_LST_LOWER,NO,0.88819329166667
2013,RL_INDEX,ER_RSK_LST_LOWER,NO,0.91120162333333
2014,RL_INDEX,ER_RSK_LST_LOWER,NO,0.85048050354167
2015,RL_INDEX,ER_RSK_LST_LOWER,NO,0.88868260625
2016,RL_INDEX,ER_RSK_LST_LOWER,NO,0.910286428125
2017,RL_INDEX,ER_RSK_LST_LOWER,NO,0.85418309104167
2018,RL_INDEX,ER_RSK_LST_LOWER,NO,0.88644211458333
2019,RL_INDEX,ER_RSK_LST_LOWER,NO,0.909396090625
