Year,Series,source,Units,Value
1998,TOT_GOV_REV,,PCT,76.9667252242155
1999,TOT_GOV_REV,,PCT,64.9242632804708
2000,TOT_GOV_REV,,PCT,62.7004266269981
2001,TOT_GOV_REV,,PCT,60.9049129606961
2002,TOT_GOV_REV,,PCT,57.452800330375
2003,TOT_GOV_REV,,PCT,57.2206690055544
2004,TOT_GOV_REV,,PCT,54.673363504235
2005,TOT_GOV_REV,,PCT,54.9931271473713
2006,TOT_GOV_REV,,PCT,53.9400836780858
2007,TOT_GOV_REV,,PCT,54.7974861106748
2008,TOT_GOV_REV,,PCT,56.4170091857637
2009,TOT_GOV_REV,,PCT,55.5810871894031
2010,TOT_GOV_REV,,PCT,52.7947120044163
2011,TOT_GOV_REV,,PCT,54.5253737265368
2012,TOT_GOV_REV,,PCT,52.6214035376377
2013,TOT_GOV_REV,,PCT,49.8779159178062
2014,TOT_GOV_REV,,PCT,48.6523952497825
2015,TOT_GOV_REV,,PCT,49.1100770043114
2016,TOT_GOV_REV,,PCT,48.1002184704446
2017,TOT_GOV_REV,,PCT,50.6061690328494
2018,TOT_GOV_REV,,PCT,52.8511763070294
2019,TOT_GOV_REV,,PCT,50.3679975835817
2020,TOT_GOV_REV,,PCT,51.6579138391583
2021,TOT_GOV_REV,,PCT,51.1253687513937
2022,TOT_GOV_REV,,PCT,48.8886723048309
1998,TOT_GOV_REV,GR_G14_TAX,PCT,41.1013335732937
1999,TOT_GOV_REV,GR_G14_TAX,PCT,42.486267050796
2000,TOT_GOV_REV,GR_G14_TAX,PCT,41.9506117910975
2001,TOT_GOV_REV,GR_G14_TAX,PCT,41.3474914934314
2002,TOT_GOV_REV,GR_G14_TAX,PCT,42.1714581071165
2003,TOT_GOV_REV,GR_G14_TAX,PCT,42.7386327228677
2004,TOT_GOV_REV,GR_G14_TAX,PCT,40.5847746752298
2005,TOT_GOV_REV,GR_G14_TAX,PCT,40.1773718496295
2006,TOT_GOV_REV,GR_G14_TAX,PCT,39.7201904793481
2007,TOT_GOV_REV,GR_G14_TAX,PCT,40.5509093826046
2008,TOT_GOV_REV,GR_G14_TAX,PCT,40.7241722686747
2009,TOT_GOV_REV,GR_G14_TAX,PCT,39.153087597844
2010,TOT_GOV_REV,GR_G14_TAX,PCT,38.4827363037564
2011,TOT_GOV_REV,GR_G14_TAX,PCT,39.2644240107074
2012,TOT_GOV_REV,GR_G14_TAX,PCT,38.1151855530991
2013,TOT_GOV_REV,GR_G14_TAX,PCT,35.6375783163359
2014,TOT_GOV_REV,GR_G14_TAX,PCT,35.3902304518966
2015,TOT_GOV_REV,GR_G14_TAX,PCT,36.3855985368122
2016,TOT_GOV_REV,GR_G14_TAX,PCT,34.8074857711705
2017,TOT_GOV_REV,GR_G14_TAX,PCT,36.1715848973976
2018,TOT_GOV_REV,GR_G14_TAX,PCT,36.9255472184497
2019,TOT_GOV_REV,GR_G14_TAX,PCT,36.2185231967898
2020,TOT_GOV_REV,GR_G14_TAX,PCT,38.0426642563261
2021,TOT_GOV_REV,GR_G14_TAX,PCT,36.3293210609129
2022,TOT_GOV_REV,GR_G14_TAX,PCT,35.4260557594816
1998,TOT_GOV_REV,GR_G14_SOC,PCT,3.65543313775497
1999,TOT_GOV_REV,GR_G14_SOC,PCT,3.45620392864751
2000,TOT_GOV_REV,GR_G14_SOC,PCT,3.06528720673378
2001,TOT_GOV_REV,GR_G14_SOC,PCT,2.87261924971896
2002,TOT_GOV_REV,GR_G14_SOC,PCT,3.04871866886696
2003,TOT_GOV_REV,GR_G14_SOC,PCT,2.45393147423849
2004,TOT_GOV_REV,GR_G14_SOC,PCT,2.74745869525663
2005,TOT_GOV_REV,GR_G14_SOC,PCT,3.20573713925556
2006,TOT_GOV_REV,GR_G14_SOC,PCT,3.63206508967874
2007,TOT_GOV_REV,GR_G14_SOC,PCT,4.19386547562816
2008,TOT_GOV_REV,GR_G14_SOC,PCT,4.57865302018682
2009,TOT_GOV_REV,GR_G14_SOC,PCT,4.63243428470746
2010,TOT_GOV_REV,GR_G14_SOC,PCT,4.53630685935457
2011,TOT_GOV_REV,GR_G14_SOC,PCT,4.52030371271108
2012,TOT_GOV_REV,GR_G14_SOC,PCT,4.7050076963826
2013,TOT_GOV_REV,GR_G14_SOC,PCT,4.45643472324888
2014,TOT_GOV_REV,GR_G14_SOC,PCT,4.28620448285755
2015,TOT_GOV_REV,GR_G14_SOC,PCT,4.39047922797352
2016,TOT_GOV_REV,GR_G14_SOC,PCT,4.66042976101505
2017,TOT_GOV_REV,GR_G14_SOC,PCT,4.72682699165009
2018,TOT_GOV_REV,GR_G14_SOC,PCT,5.04647655364117
2019,TOT_GOV_REV,GR_G14_SOC,PCT,5.39630886913629
2020,TOT_GOV_REV,GR_G14_SOC,PCT,5.69238890185315
2021,TOT_GOV_REV,GR_G14_SOC,PCT,5.3664556959798
2022,TOT_GOV_REV,GR_G14_SOC,PCT,5.14023564273205
1998,TOT_GOV_REV,GR_G14_GRA,PCT,14.9175713748071
1999,TOT_GOV_REV,GR_G14_GRA,PCT,14.3802997590251
2000,TOT_GOV_REV,GR_G14_GRA,PCT,13.4981614780641
2001,TOT_GOV_REV,GR_G14_GRA,PCT,12.2226117535807
2002,TOT_GOV_REV,GR_G14_GRA,PCT,8.00276233183196
2003,TOT_GOV_REV,GR_G14_GRA,PCT,8.0763453091597
2004,TOT_GOV_REV,GR_G14_GRA,PCT,7.91914565103381
2005,TOT_GOV_REV,GR_G14_GRA,PCT,7.66515155762289
2006,TOT_GOV_REV,GR_G14_GRA,PCT,6.6949010705345
2007,TOT_GOV_REV,GR_G14_GRA,PCT,6.39760827049944
2008,TOT_GOV_REV,GR_G14_GRA,PCT,6.51032150014175
2009,TOT_GOV_REV,GR_G14_GRA,PCT,6.75123270885988
2010,TOT_GOV_REV,GR_G14_GRA,PCT,6.43501320996692
2011,TOT_GOV_REV,GR_G14_GRA,PCT,6.30582739597567
2012,TOT_GOV_REV,GR_G14_GRA,PCT,6.02582391591132
2013,TOT_GOV_REV,GR_G14_GRA,PCT,5.63391836689358
2014,TOT_GOV_REV,GR_G14_GRA,PCT,5.2571734869628
2015,TOT_GOV_REV,GR_G14_GRA,PCT,5.04301658528117
2016,TOT_GOV_REV,GR_G14_GRA,PCT,4.62821967542453
2017,TOT_GOV_REV,GR_G14_GRA,PCT,4.46764176793849
2018,TOT_GOV_REV,GR_G14_GRA,PCT,4.3387480732811
2019,TOT_GOV_REV,GR_G14_GRA,PCT,4.04723165185222
2020,TOT_GOV_REV,GR_G14_GRA,PCT,4.06592513182251
2021,TOT_GOV_REV,GR_G14_GRA,PCT,3.80987022529218
2022,TOT_GOV_REV,GR_G14_GRA,PCT,3.53704169014344
1998,TOT_GOV_REV,GR_G14_OTH,PCT,17.2923871383597
1999,TOT_GOV_REV,GR_G14_OTH,PCT,4.6014925420022
2000,TOT_GOV_REV,GR_G14_OTH,PCT,4.18636615110275
2001,TOT_GOV_REV,GR_G14_OTH,PCT,4.46219046396503
2002,TOT_GOV_REV,GR_G14_OTH,PCT,4.22986122255964
2003,TOT_GOV_REV,GR_G14_OTH,PCT,3.9517594992885
2004,TOT_GOV_REV,GR_G14_OTH,PCT,3.42198448271484
2005,TOT_GOV_REV,GR_G14_OTH,PCT,3.94486660086341
2006,TOT_GOV_REV,GR_G14_OTH,PCT,3.89292703852442
2007,TOT_GOV_REV,GR_G14_OTH,PCT,3.6551029819426
2008,TOT_GOV_REV,GR_G14_OTH,PCT,4.60386239676046
2009,TOT_GOV_REV,GR_G14_OTH,PCT,5.04433259799169
2010,TOT_GOV_REV,GR_G14_OTH,PCT,3.34065563133844
2011,TOT_GOV_REV,GR_G14_OTH,PCT,4.43481860714262
2012,TOT_GOV_REV,GR_G14_OTH,PCT,3.77538637224472
2013,TOT_GOV_REV,GR_G14_OTH,PCT,4.14998451132786
2014,TOT_GOV_REV,GR_G14_OTH,PCT,3.71878682806557
2015,TOT_GOV_REV,GR_G14_OTH,PCT,3.29098265424452
2016,TOT_GOV_REV,GR_G14_OTH,PCT,4.00408326283448
2017,TOT_GOV_REV,GR_G14_OTH,PCT,5.24011537586325
2018,TOT_GOV_REV,GR_G14_OTH,PCT,6.54040446165738
2019,TOT_GOV_REV,GR_G14_OTH,PCT,4.70593386580344
2020,TOT_GOV_REV,GR_G14_OTH,PCT,3.85693554915651
2021,TOT_GOV_REV,GR_G14_OTH,PCT,5.61972176920882
2022,TOT_GOV_REV,GR_G14_OTH,PCT,4.78533921247384
