Year,data.measure,data.typeofproduct,Value
2000,data.tm_tax_dmfn,data.total,3.65506
2000,data.tm_tax_dmfn,data.agriculturalproducts,8.80365
2000,data.tm_tax_dmfn,data.industrialproducts,3.43279
2000,data.tm_tax_dmfn,data.clothing,12.95968
2000,data.tm_tax_dmfn,data.textiles,8.68377
2000,data.tm_tax_dprf,data.total,3.6469
2000,data.tm_tax_dprf,data.agriculturalproducts,8.80333
2000,data.tm_tax_dprf,data.industrialproducts,3.42459
2000,data.tm_tax_dprf,data.clothing,12.70205
2000,data.tm_tax_dprf,data.textiles,8.43693
2001,data.tm_tax_dmfn,,
2001,data.tm_tax_dprf,,
2002,data.tm_tax_dmfn,,
2002,data.tm_tax_dprf,,
2003,data.tm_tax_dmfn,,a
2003,data.tm_tax_dprf,,
2004,data.tm_tax_dmfn,,
2004,data.tm_tax_dprf,,
2005,data.tm_tax_dmfn,data.total,3.6273
2005,data.tm_tax_dmfn,data.agriculturalproducts,7.72954
2005,data.tm_tax_dmfn,data.industrialproducts,3.41948
2005,data.tm_tax_dmfn,data.clothing,12.31428
2005,data.tm_tax_dmfn,data.textiles,7.12526
2005,data.tm_tax_dprf,data.total,2.19914
2005,data.tm_tax_dprf,data.agriculturalproducts,7.72797
2005,data.tm_tax_dprf,data.industrialproducts,1.99135
2005,data.tm_tax_dprf,data.clothing,8.48158
2005,data.tm_tax_dprf,data.textiles,3.61837
2006,data.tm_tax_dmfn,,
2006,data.tm_tax_dprf,,
2007,data.tm_tax_dmfn,,
2007,data.tm_tax_dprf,,
2008,data.tm_tax_dmfn,,
2008,data.tm_tax_dprf,,
2009,data.tm_tax_dmfn,,
2009,data.tm_tax_dprf,,
2010,data.tm_tax_dmfn,data.total,3.63485
2010,data.tm_tax_dmfn,data.agriculturalproducts,8.0428
2010,data.tm_tax_dmfn,data.industrialproducts,3.41774
2010,data.tm_tax_dmfn,data.clothing,12.18176
2010,data.tm_tax_dmfn,data.textiles,7.47911
2010,data.tm_tax_dprf,data.total,2.20609
2010,data.tm_tax_dprf,data.agriculturalproducts,7.63392
2010,data.tm_tax_dprf,data.industrialproducts,1.99218
2010,data.tm_tax_dprf,data.clothing,8.3488
2010,data.tm_tax_dprf,data.textiles,3.92568
2011,data.tm_tax_dmfn,data.total,3.70643
2011,data.tm_tax_dmfn,data.agriculturalproducts,8.0242
2011,data.tm_tax_dmfn,data.industrialproducts,3.48906
2011,data.tm_tax_dmfn,data.clothing,12.17185
2011,data.tm_tax_dmfn,data.textiles,7.46877
2011,data.tm_tax_dprf,data.total,2.22964
2011,data.tm_tax_dprf,data.agriculturalproducts,7.61532
2011,data.tm_tax_dprf,data.industrialproducts,2.01586
2011,data.tm_tax_dprf,data.clothing,8.33886
2011,data.tm_tax_dprf,data.textiles,3.91534
2012,data.tm_tax_dmfn,data.total,3.77731
2012,data.tm_tax_dmfn,data.agriculturalproducts,7.77933
2012,data.tm_tax_dmfn,data.industrialproducts,3.60596
2012,data.tm_tax_dmfn,data.clothing,12.1584
2012,data.tm_tax_dmfn,data.textiles,7.46554
2012,data.tm_tax_dprf,data.total,2.50533
2012,data.tm_tax_dprf,data.agriculturalproducts,7.37054
2012,data.tm_tax_dprf,data.industrialproducts,2.33854
2012,data.tm_tax_dprf,data.clothing,8.32544
2012,data.tm_tax_dprf,data.textiles,3.91215
2013,data.tm_tax_dmfn,data.total,3.50824
2013,data.tm_tax_dmfn,data.agriculturalproducts,7.62437
2013,data.tm_tax_dmfn,data.industrialproducts,3.34706
2013,data.tm_tax_dmfn,data.clothing,12.14938
2013,data.tm_tax_dmfn,data.textiles,7.45716
2013,data.tm_tax_dprf,data.total,2.40118
2013,data.tm_tax_dprf,data.agriculturalproducts,7.21558
2013,data.tm_tax_dprf,data.industrialproducts,2.23448
2013,data.tm_tax_dprf,data.clothing,8.3189
2013,data.tm_tax_dprf,data.textiles,3.90378
2014,data.tm_tax_dmfn,data.total,3.5094
2014,data.tm_tax_dmfn,data.agriculturalproducts,7.47497
