Year,Units,Series,sex,Value
1986,NO,SH_HIV_INCD,,0.043944936993947
1986,NO,SH_HIV_INCD,M,0.084123746030411
1986,NO,SH_HIV_INCD,F,0.0
1987,NO,SH_HIV_INCD,,0.065277702224882
1987,NO,SH_HIV_INCD,M,0.083246618106139
1987,NO,SH_HIV_INCD,F,0.045594437478628
1988,NO,SH_HIV_INCD,,0.021476971317505
1988,NO,SH_HIV_INCD,M,0.041077039988498
1988,NO,SH_HIV_INCD,F,0.0
1989,NO,SH_HIV_INCD,,0.021173207423327
1989,NO,SH_HIV_INCD,M,0.040503868119405
1989,NO,SH_HIV_INCD,F,0.0
1990,NO,SH_HIV_INCD,,0.062926721832426
1990,NO,SH_HIV_INCD,M,0.080332576868234
1990,NO,SH_HIV_INCD,F,0.043902010712091
1991,NO,SH_HIV_INCD,,0.0
1991,NO,SH_HIV_INCD,M,0.0
1991,NO,SH_HIV_INCD,F,0.0
1992,NO,SH_HIV_INCD,,0.0
1992,NO,SH_HIV_INCD,M,0.0
1992,NO,SH_HIV_INCD,F,0.0
1993,NO,SH_HIV_INCD,,0.085159834364122
1993,NO,SH_HIV_INCD,M,0.122923111593698
1993,NO,SH_HIV_INCD,F,0.044316419233326
1994,NO,SH_HIV_INCD,,0.021739603034849
1994,NO,SH_HIV_INCD,M,0.041912026656049
1994,NO,SH_HIV_INCD,F,0.0
1995,NO,SH_HIV_INCD,,0.0
1995,NO,SH_HIV_INCD,M,0.0
1995,NO,SH_HIV_INCD,F,0.0
1996,NO,SH_HIV_INCD,,0.022996699973554
1996,NO,SH_HIV_INCD,M,0.044489923032433
1996,NO,SH_HIV_INCD,F,0.0
1997,NO,SH_HIV_INCD,,0.0
1997,NO,SH_HIV_INCD,M,0.0
1997,NO,SH_HIV_INCD,F,0.0
1998,NO,SH_HIV_INCD,,0.0
1998,NO,SH_HIV_INCD,M,0.0
1998,NO,SH_HIV_INCD,F,0.0
1999,NO,SH_HIV_INCD,,0.0
1999,NO,SH_HIV_INCD,M,0.0
1999,NO,SH_HIV_INCD,F,0.0
2000,NO,SH_HIV_INCD,,0.022196080172242
2000,NO,SH_HIV_INCD,M,0.04292121810417
2000,NO,SH_HIV_INCD,F,0.0
2001,NO,SH_HIV_INCD,,0.0
2001,NO,SH_HIV_INCD,M,0.0
2001,NO,SH_HIV_INCD,F,0.0
2002,NO,SH_HIV_INCD,,0.0
2002,NO,SH_HIV_INCD,M,0.0
2002,NO,SH_HIV_INCD,F,0.0
2003,NO,SH_HIV_INCD,,0.0211420960274
2003,NO,SH_HIV_INCD,M,0.040787192821454
2003,NO,SH_HIV_INCD,F,0.0
2004,NO,SH_HIV_INCD,,0.041751474348938
2004,NO,SH_HIV_INCD,M,0.0
2004,NO,SH_HIV_INCD,F,0.086773542746816
2005,NO,SH_HIV_INCD,,0.0
2005,NO,SH_HIV_INCD,M,0.0
2005,NO,SH_HIV_INCD,F,0.0
2006,NO,SH_HIV_INCD,,0.0
2006,NO,SH_HIV_INCD,M,0.0
2006,NO,SH_HIV_INCD,F,0.0
2007,NO,SH_HIV_INCD,,0.0
2007,NO,SH_HIV_INCD,M,0.0
2007,NO,SH_HIV_INCD,F,0.0
2008,NO,SH_HIV_INCD,,0.0
2008,NO,SH_HIV_INCD,M,0.0
2008,NO,SH_HIV_INCD,F,0.0
2009,NO,SH_HIV_INCD,,0.0
2009,NO,SH_HIV_INCD,M,0.0
2009,NO,SH_HIV_INCD,F,0.0
2010,NO,SH_HIV_INCD,,0.0
2010,NO,SH_HIV_INCD,M,0.0
2010,NO,SH_HIV_INCD,F,0.0
2011,NO,SH_HIV_INCD,,0.020631105517789
2011,NO,SH_HIV_INCD,M,0.0
2011,NO,SH_HIV_INCD,F,0.042927666881305
2012,NO,SH_HIV_INCD,,0.0
2012,NO,SH_HIV_INCD,M,0.0
2012,NO,SH_HIV_INCD,F,0.0
2013,NO,SH_HIV_INCD,,0.0
2013,NO,SH_HIV_INCD,M,0.0
2013,NO,SH_HIV_INCD,F,0.0
2014,NO,SH_HIV_INCD,,0.0
2014,NO,SH_HIV_INCD,M,0.0
2014,NO,SH_HIV_INCD,F,0.0
2015,NO,SH_HIV_INCD,,0.0
2015,NO,SH_HIV_INCD,M,0.0
2015,NO,SH_HIV_INCD,F,0.0
2016,NO,SH_HIV_INCD,,0.020462870122163
2016,NO,SH_HIV_INCD,M,0.039611019785704
2016,NO,SH_HIV_INCD,F,0.0
2017,NO,SH_HIV_INCD,,0.0
2017,NO,SH_HIV_INCD,M,0.0
2017,NO,SH_HIV_INCD,F,0.0
2018,NO,SH_HIV_INCD,,0.0
2018,NO,SH_HIV_INCD,M,0.0
2018,NO,SH_HIV_INCD,F,0.0
2019,NO,SH_HIV_INCD,,0.0
2019,NO,SH_HIV_INCD,M,0.0
2019,NO,SH_HIV_INCD,F,0.0
2020,NO,SH_HIV_INCD,,0.0
2020,NO,SH_HIV_INCD,M,0.0
2020,NO,SH_HIV_INCD,F,0.0
2021,NO,SH_HIV_INCD,,0.038095600910485
2021,NO,SH_HIV_INCD,M,0.036816140195862
2021,NO,SH_HIV_INCD,F,0.039467192895905
