Year,Units,sex,Series,Value
2009,NO,,SH_DTH_NCOM,274.03516784654
2009,NO,,I00-I99,74.7368639581474
2009,NO,,COO-C97,141.169631920945
2009,NO,,E10-E14,29.064335983724
2009,NO,,J30-J98,29.064335983724
2009,NO,M,SH_DTH_NCOM,321.56862745098
2009,NO,M,I00-I99,86.2745098039216
2009,NO,M,COO-C97,196.078431372549
2009,NO,M,E10-E14,15.6862745098039
2009,NO,M,J30-J98,23.5294117647059
2009,NO,F,SH_DTH_NCOM,220.565530018969
2009,NO,F,I00-I99,61.7583484053112
2009,NO,F,COO-C97,79.4035908068287
2009,NO,F,E10-E14,44.1131060037937
2009,NO,F,J30-J98,35.290484803035
2010,NO,,SH_DTH_NCOM,210.905030705291
2010,NO,,I00-I99,57.8954986249819
2010,NO,,COO-C97,144.738746562455
2010,NO,,E10-E14,4.1353927589273
2010,NO,,J30-J98,4.1353927589273
2010,NO,M,SH_DTH_NCOM,305.235970885184
2010,NO,M,I00-I99,86.092196916334
2010,NO,M,COO-C97,219.14377396885
2010,NO,M,E10-E14,0.0
2010,NO,M,J30-J98,0.0
2010,NO,F,SH_DTH_NCOM,105.221623043536
2010,NO,F,I00-I99,26.3054057608839
2010,NO,F,COO-C97,61.379280108729
2010,NO,F,E10-E14,8.7684685869613
2010,NO,F,J30-J98,8.7684685869613
2011,NO,,SH_DTH_NCOM,264.075426543707
2011,NO,,I00-I99,66.0188566359266
2011,NO,,COO-C97,181.551855748798
2011,NO,,E10-E14,8.2523570794908
2011,NO,,J30-J98,8.2523570794908
2011,NO,M,SH_DTH_NCOM,313.455058381005
2011,NO,M,I00-I99,101.872893973827
2011,NO,M,COO-C97,203.745787947653
2011,NO,M,E10-E14,0.0
2011,NO,M,J30-J98,7.8363764595251
2011,NO,F,SH_DTH_NCOM,209.159440498497
2011,NO,F,I00-I99,26.1449300623121
2011,NO,F,COO-C97,156.869580373873
2011,NO,F,E10-E14,17.4299533748747
2011,NO,F,J30-J98,8.7149766874374
2012,NO,,SH_DTH_NCOM,231.027867736546
2012,NO,,I00-I99,90.7609480393573
2012,NO,,COO-C97,132.015924420883
2012,NO,,E10-E14,0.0
2012,NO,,J30-J98,8.2509952763052
2012,NO,M,SH_DTH_NCOM,346.347607052897
2012,NO,M,I00-I99,157.430730478589
2012,NO,M,COO-C97,173.173803526448
2012,NO,M,E10-E14,0.0
2012,NO,M,J30-J98,15.7430730478589
2012,NO,F,SH_DTH_NCOM,104.026700186381
2012,NO,F,I00-I99,17.3377833643969
2012,NO,F,COO-C97,86.6889168219843
2012,NO,F,E10-E14,0.0
2012,NO,F,J30-J98,0.0
2013,NO,,SH_DTH_NCOM,272.637144745539
2013,NO,,I00-I99,86.748182419035
2013,NO,,COO-C97,156.972901520159
2013,NO,,E10-E14,4.1308658294779
2013,NO,,J30-J98,24.7851949768672
2013,NO,M,SH_DTH_NCOM,371.497450895151
2013,NO,M,I00-I99,118.563016243133
2013,NO,M,COO-C97,237.126032486266
2013,NO,M,E10-E14,7.9042010828756
2013,NO,M,J30-J98,7.9042010828756
2013,NO,F,SH_DTH_NCOM,164.409639596764
2013,NO,F,I00-I99,51.9188335568728
2013,NO,F,COO-C97,69.2251114091637
2013,NO,F,E10-E14,0.0
2013,NO,F,J30-J98,43.2656946307273
