Year,Value
1970,75.0
1971,73.0
1972,70.5
1973,72.0
1974,74.4
1975,66.7
1976,65.4
1977,62.5
1978,48.7
1979,60.1
1980,54.8
1981,54.4
1982,45.2
1983,32.8
1984,35.5
1985,23.8
1986,25.2
1987,20.6
1988,17.6
1989,25.0
1990,28.5
1991,22.3
1992,28.1
1993,27.8
1994,24.2
1995,19.0
1996,15.0
1997,15.3
1998,17.6
1999,13.8
2000,15.1
2001,11.0
2002,12.5
2003,13.9
2004,12.7
2005,9.8
2006,9.2
2007,9.2
2008,14.0
2009,12.4
2010,9.8
2011,12.9
2012,9.7
2013,12.4
2014,14.6
2015,7.9
2016,7.5
2017,6.6
2018,4.7
2019,5.7
2020,1.7
