Year,Units,Series,sex,Value
2003,PCT,SH_PRV_SMOK,Total,41.0
2004,PCT,SH_PRV_SMOK,Total,36.0
2005,PCT,SH_PRV_SMOK,Total,32.0
2006,PCT,SH_PRV_SMOK,Total,33.0
2006,PCT,SH_PRV_SMOK,M,31.0
2006,PCT,SH_PRV_SMOK,F,34.0
2007,PCT,SH_PRV_SMOK,Total,28.0
2007,PCT,SH_PRV_SMOK,M,26.0
2007,PCT,SH_PRV_SMOK,F,31.0
2008,PCT,SH_PRV_SMOK,Total,33.0
2008,PCT,SH_PRV_SMOK,M,37.0
2008,PCT,SH_PRV_SMOK,F,28.0
2009,PCT,SH_PRV_SMOK,Total,34.0
2009,PCT,SH_PRV_SMOK,M,36.0
2009,PCT,SH_PRV_SMOK,F,32.0
2010,PCT,SH_PRV_SMOK,Total,27.0
2010,PCT,SH_PRV_SMOK,M,25.0
2010,PCT,SH_PRV_SMOK,F,29.0
2011,PCT,SH_PRV_SMOK,Total,34.0
2011,PCT,SH_PRV_SMOK,M,36.0
2011,PCT,SH_PRV_SMOK,F,32.0
2012,PCT,SH_PRV_SMOK,Total,29.0
2012,PCT,SH_PRV_SMOK,M,28.0
2012,PCT,SH_PRV_SMOK,F,31.0
2013,PCT,SH_PRV_SMOK,Total,33.0
2013,PCT,SH_PRV_SMOK,M,33.0
2013,PCT,SH_PRV_SMOK,F,32.0
2014,PCT,SH_PRV_SMOK,Total,27.0
2014,PCT,SH_PRV_SMOK,M,30.0
2014,PCT,SH_PRV_SMOK,F,23.0
2015,PCT,SH_PRV_SMOK,Total,27.0
2015,PCT,SH_PRV_SMOK,M,26.0
2015,PCT,SH_PRV_SMOK,F,29.0
2016,PCT,SH_PRV_SMOK,Total,34.0
2016,PCT,SH_PRV_SMOK,M,38.0
2016,PCT,SH_PRV_SMOK,F,29.0
2017,PCT,SH_PRV_SMOK,Total,27.0
2017,PCT,SH_PRV_SMOK,M,27.0
2017,PCT,SH_PRV_SMOK,F,26.0
2018,PCT,SH_PRV_SMOK,Total,26.0
2018,PCT,SH_PRV_SMOK,M,29.0
2018,PCT,SH_PRV_SMOK,F,21.0
2019,PCT,SH_PRV_SMOK,Total,29.0
2019,PCT,SH_PRV_SMOK,M,30.0
2019,PCT,SH_PRV_SMOK,F,28.0
2020,PCT,SH_PRV_SMOK,Total,31.0
2020,PCT,SH_PRV_SMOK,M,33.0
2020,PCT,SH_PRV_SMOK,F,28.0
2021,PCT,SH_PRV_SMOK,Total,26.0
2021,PCT,SH_PRV_SMOK,M,28.0
2021,PCT,SH_PRV_SMOK,F,24.0
2022,PCT,SH_PRV_SMOK,Total,27.0
2022,PCT,SH_PRV_SMOK,M,29.0
2022,PCT,SH_PRV_SMOK,F,25.0
