Year,Series,Education,Units,sex,data.education,data.sex,Value
2011,SE_TOT_CPLR,ISCED_1,PCT,TOTAL,,,96.263837638376
2011,SE_TOT_CPLR,ISCED_1,PCT,M,,,95.093666369313
2011,SE_TOT_CPLR,ISCED_1,PCT,F,,,97.516714422159
2011,SE_TOT_CPLR,ISCED_2,PCT,TOTAL,,,96.495220755576
2011,SE_TOT_CPLR,ISCED_2,PCT,M,,,96.121416526138
2011,SE_TOT_CPLR,ISCED_2,PCT,F,,,96.933728981207
2011,SE_TOT_CPLR,ISCED_3,PCT,TOTAL,,,71.137521222411
2011,SE_TOT_CPLR,ISCED_3,PCT,M,,,61.838440111421
2011,SE_TOT_CPLR,ISCED_3,PCT,F,,,85.652173913043
2011,,,,,data.primaryeducation,,96.3
2011,,,,,data.primaryeducation,data.male,95.1
2011,,,,,data.primaryeducation,data.female,97.5
2011,,,,,data.lowersecondaryeducation,,96.5
2011,,,,,data.lowersecondaryeducation,data.male,96.1
2011,,,,,data.lowersecondaryeducation,data.female,96.9
2011,,,,,data.uppersecondaryeducation,,71.1
2011,,,,,data.uppersecondaryeducation,data.male,61.8
2011,,,,,data.uppersecondaryeducation,data.female,85.7
