Year,Units,Series,sex,data.sex,Value
2015,PCT,SE_PRE_PARTN,,,92.571428571429
2015,PCT,SE_PRE_PARTN,M,,92.91553133515
2015,PCT,SE_PRE_PARTN,F,,92.192192192192
2016,PCT,SE_PRE_PARTN,,,93.082706766917
2016,PCT,SE_PRE_PARTN,M,,91.168091168091
2016,PCT,SE_PRE_PARTN,F,,95.222929936306
2017,PCT,SE_PRE_PARTN,,,101.144492131617
2017,PCT,SE_PRE_PARTN,M,,106.779661016949
2017,PCT,SE_PRE_PARTN,F,,95.36231884058
2019,PCT,SE_PRE_PARTN,,,99.572039942939
2019,PCT,SE_PRE_PARTN,M,,95.135135135135
2019,PCT,SE_PRE_PARTN,F,,104.531722054381
2020,PCT,SE_PRE_PARTN,,,96.148555708391
2020,PCT,SE_PRE_PARTN,M,,95.800524934383
2020,PCT,SE_PRE_PARTN,F,,96.531791907514
2021,PCT,SE_PRE_PARTN,,,99.588477366255
2021,PCT,SE_PRE_PARTN,M,,96.961325966851
2021,PCT,SE_PRE_PARTN,F,,102.179836512262
2015,,,,,100.5
2015,,,,data.male,97.7
2015,,,,data.female,103.7
2016,,,,,89.5
2016,,,,data.male,87.9
2016,,,,data.female,91.2
2017,,,,,102.6
2017,,,,data.male,108.6
2017,,,,data.female,96.5
2018,,,,,
2018,,,,data.male,
2018,,,,data.female,
2019,,,,,96.3
2019,,,,data.male,92.6
2019,,,,data.female,100.3
2020,,,,,95.4
2020,,,,data.male,98.9
2020,,,,data.female,91.8
2021,,,,,96.9
2021,,,,data.male,93.4
2021,,,,data.female,100.5
