Year,Series,age,Units,sex,Value
2011,SH_DTH_NCOM,Y_GE15,PCT,,7.57766395113293
2011,SH_DTH_NCOM,Y_GE15,PCT,M,4.74102450834848
2011,SH_DTH_NCOM,Y_GE15,PCT,F,10.6458943649836
2011,SH_DTH_NCOM,Y15-24,PCT,,2.88392101200261
2011,SH_DTH_NCOM,Y15-24,PCT,M,1.94954507038535
2011,SH_DTH_NCOM,Y15-24,PCT,F,3.97538834127758
2011,SH_DTH_NCOM,Y25-44,PCT,,8.23897011511427
2011,SH_DTH_NCOM,Y25-44,PCT,M,5.23770619358855
2011,SH_DTH_NCOM,Y25-44,PCT,F,11.6715500440504
2011,SH_DTH_NCOM,Y45-54,PCT,,9.04427635076694
2011,SH_DTH_NCOM,Y45-54,PCT,M,5.67876344086019
2011,SH_DTH_NCOM,Y45-54,PCT,F,12.7926919270703
2011,SH_DTH_NCOM,Y55-64,PCT,,9.14213049098502
2011,SH_DTH_NCOM,Y55-64,PCT,M,5.41197213382641
2011,SH_DTH_NCOM,Y55-64,PCT,F,13.2036139595137
2011,SH_DTH_NCOM,Y_GE65,PCT,,8.25867811780696
2011,SH_DTH_NCOM,Y_GE65,PCT,M,5.26202661900699
2011,SH_DTH_NCOM,Y_GE65,PCT,F,10.9541316526611
2011,I00-I99,Y_GE15,PCT,,7.09924364008306
2011,I00-I99,Y_GE15,PCT,M,4.65073382786949
2011,I00-I99,Y_GE15,PCT,F,9.6090625404548
2011,I00-I99,Y15-24,PCT,,2.60508524397415
2011,I00-I99,Y15-24,PCT,M,1.9078144078144
2011,I00-I99,Y15-24,PCT,F,3.3807777389685
2011,I00-I99,Y25-44,PCT,,7.77948277948281
2011,I00-I99,Y25-44,PCT,M,5.09919744378898
2011,I00-I99,Y25-44,PCT,F,10.6217844110515
2011,I00-I99,Y45-54,PCT,,8.40743190280229
2011,I00-I99,Y45-54,PCT,M,5.62011718749997
2011,I00-I99,Y45-54,PCT,F,11.5098343685301
2011,I00-I99,Y55-64,PCT,,8.43374243510116
2011,I00-I99,Y55-64,PCT,M,5.26384065780544
2011,I00-I99,Y55-64,PCT,F,11.5877814845705
2011,I00-I99,Y_GE65,PCT,,8.06732859118755
2011,I00-I99,Y_GE65,PCT,M,5.35443230115361
2011,I00-I99,Y_GE65,PCT,F,10.3377250290361
2011,COO-C97,Y_GE15,PCT,,7.86201984993558
2011,COO-C97,Y_GE15,PCT,M,4.79251240414975
2011,COO-C97,Y_GE15,PCT,F,11.2900776365306
2011,COO-C97,Y15-24,PCT,,3.06015664007619
2011,COO-C97,Y15-24,PCT,M,1.9749633454453
2011,COO-C97,Y15-24,PCT,F,4.36763952892986
2011,COO-C97,Y25-44,PCT,,8.51748043098498
2011,COO-C97,Y25-44,PCT,M,5.31699640287773
2011,COO-C97,Y25-44,PCT,F,12.350183150183
2011,COO-C97,Y45-54,PCT,,9.47763731647797
2011,COO-C97,Y45-54,PCT,M,5.71865037194472
2011,COO-C97,Y45-54,PCT,F,13.6661591812569
2011,COO-C97,Y55-64,PCT,,9.56776832813002
2011,COO-C97,Y55-64,PCT,M,5.49497863964747
2011,COO-C97,Y55-64,PCT,F,14.2497171654839
2011,COO-C97,Y_GE65,PCT,,8.35059606860481
2011,COO-C97,Y_GE65,PCT,M,5.22008307250141
2011,COO-C97,Y_GE65,PCT,F,11.2654193702115
