Year,Series,party,Units,Value
1984,NP,TOT,SG_GEN_PARL,3.1
1984,NP,TOT,SG_GEN_PARLN,1.0
1984,NP,TOT,SG_GEN_PARLNT,32.0
1988,NP,TOT,SG_GEN_PARL,9.4
1988,NP,TOT,SG_GEN_PARLN,3.0
1988,NP,TOT,SG_GEN_PARLNT,32.0
1990,NP,TOT,SG_GEN_PARL,9.4
1990,NP,TOT,SG_GEN_PARLN,3.0
1990,NP,TOT,SG_GEN_PARLNT,32.0
1994,NP,TOT,SG_GEN_PARL,15.6
1994,NP,TOT,SG_GEN_PARLN,5.0
1994,NP,TOT,SG_GEN_PARLNT,32.0
1998,NP,TOT,SG_GEN_PARL,12.5
1998,NP,TOT,SG_GEN_PARLN,4.0
1998,NP,TOT,SG_GEN_PARLNT,32.0
2002,NP,TOT,SG_GEN_PARL,12.5
2002,NP,TOT,SG_GEN_PARLN,4.0
2002,NP,TOT,SG_GEN_PARLNT,32.0
2004,NP,TOT,SG_GEN_PARL,9.4
2004,NP,TOT,SG_GEN_PARLN,3.0
2004,NP,TOT,SG_GEN_PARLNT,32.0
2008,NP,TOT,SG_GEN_PARL,21.2
2008,NP,TOT,SG_GEN_PARLN,7.0
2008,NP,TOT,SG_GEN_PARLNT,33.0
2011,NP,TOT,SG_GEN_PARL,30.3
2011,NP,TOT,SG_GEN_PARLN,10.0
2011,NP,TOT,SG_GEN_PARLNT,33.0
2015,NP,TOT,SG_GEN_PARL,30.3
2015,NP,TOT,SG_GEN_PARLN,10.0
2015,NP,TOT,SG_GEN_PARLNT,33.0
2019,NP,TOT,SG_GEN_PARL,24.2
2019,NP,TOT,SG_GEN_PARLN,8.0
2019,NP,TOT,SG_GEN_PARLNT,33.0
2022,NP,TOT,SG_GEN_PARL,30.3
2022,NP,TOT,SG_GEN_PARLN,10.0
2022,NP,TOT,SG_GEN_PARLNT,33.0
1984,NP,A,SG_GEN_PARL,0.0
1984,NP,A,SG_GEN_PARLN,0.0
1984,NP,A,SG_GEN_PARLNT,7.0
1988,NP,A,SG_GEN_PARL,0.0
1988,NP,A,SG_GEN_PARLN,0.0
1988,NP,A,SG_GEN_PARLNT,8.0
1990,NP,A,SG_GEN_PARL,0.0
1990,NP,A,SG_GEN_PARLN,0.0
1990,NP,A,SG_GEN_PARLNT,7.0
1994,NP,A,SG_GEN_PARL,0.0
1994,NP,A,SG_GEN_PARLN,0.0
1994,NP,A,SG_GEN_PARLNT,6.0
1998,NP,A,SG_GEN_PARL,0.0
1998,NP,A,SG_GEN_PARLN,0.0
1998,NP,A,SG_GEN_PARLNT,8.0
2002,NP,A,SG_GEN_PARL,0.0
2002,NP,A,SG_GEN_PARLN,0.0
2002,NP,A,SG_GEN_PARLNT,7.0
2004,NP,A,SG_GEN_PARL,0.0
2004,NP,A,SG_GEN_PARLN,0.0
2004,NP,A,SG_GEN_PARLNT,7.0
2008,NP,A,SG_GEN_PARL,14.3
2008,NP,A,SG_GEN_PARLN,1.0
2008,NP,A,SG_GEN_PARLNT,7.0
2011,NP,A,SG_GEN_PARL,25.0
2011,NP,A,SG_GEN_PARLN,2.0
2011,NP,A,SG_GEN_PARLNT,8.0
2015,NP,A,SG_GEN_PARL,33.3
2015,NP,A,SG_GEN_PARLN,2.0
2015,NP,A,SG_GEN_PARLNT,6.0
2019,NP,A,SG_GEN_PARL,12.5
2019,NP,A,SG_GEN_PARLN,1.0
2019,NP,A,SG_GEN_PARLNT,8.0
2022,NP,A,SG_GEN_PARL,16.7
2022,NP,A,SG_GEN_PARLN,1.0
2022,NP,A,SG_GEN_PARLNT,6.0
1984,NP,FBF,SG_GEN_PARL,0.0
1984,NP,FBF,SG_GEN_PARLN,0.0
1984,NP,FBF,SG_GEN_PARLNT,2.0
2011,NP,F,SG_GEN_PARL,0.0
2011,NP,F,SG_GEN_PARLN,0.0
2011,NP,F,SG_GEN_PARLNT,2.0
2015,NP,F,SG_GEN_PARL,50.0
2015,NP,F,SG_GEN_PARLN,1.0
2015,NP,F,SG_GEN_PARLNT,2.0
2019,NP,F,SG_GEN_PARL,0.0
2019,NP,F,SG_GEN_PARLN,0.0
2019,NP,F,SG_GEN_PARLNT,2.0
2022,NP,F,SG_GEN_PARL,33.3
2022,NP,F,SG_GEN_PARLN,1.0
2022,NP,F,SG_GEN_PARLNT,3.0
1984,NP,C,SG_GEN_PARL,0.0
1984,NP,C,SG_GEN_PARLN,0.0
1984,NP,C,SG_GEN_PARLNT,8.0
1988,NP,C,SG_GEN_PARL,14.3
1988,NP,C,SG_GEN_PARLN,1.0
1988,NP,C,SG_GEN_PARLNT,7.0
1990,NP,C,SG_GEN_PARL,10.0
1990,NP,C,SG_GEN_PARLN,1.0
1990,NP,C,SG_GEN_PARLNT,10.0
1994,NP,C,SG_GEN_PARL,20.0
1994,NP,C,SG_GEN_PARLN,1.0
1994,NP,C,SG_GEN_PARLNT,5.0
1998,NP,C,SG_GEN_PARL,14.3
1998,NP,C,SG_GEN_PARLN,1.0
1998,NP,C,SG_GEN_PARLNT,7.0
2002,NP,C,SG_GEN_PARL,14.3
2002,NP,C,SG_GEN_PARLN,1.0
2002,NP,C,SG_GEN_PARLNT,7.0
2004,NP,C,SG_GEN_PARL,0.0
2004,NP,C,SG_GEN_PARLN,0.0
2004,NP,C,SG_GEN_PARLNT,7.0
2008,NP,C,SG_GEN_PARL,33.3
2008,NP,C,SG_GEN_PARLN,2.0
2008,NP,C,SG_GEN_PARLNT,6.0
2011,NP,C,SG_GEN_PARL,33.3
