Year,Units,material type,Value
1998,data.domesticmaterialconsumption,data.total,817.0
1998,data.domesticmaterialconsumption,data.biomass,357.4
1998,data.domesticmaterialconsumption,data.metallicminerals,2.6
1998,data.domesticmaterialconsumption,data.non-metallicminerals,287.8
1998,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,169.1
1998,data.domesticmaterialconsumptionpercapita,data.total,18.4
1998,data.domesticmaterialconsumptionpercapita,data.biomass,8.0
1998,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.1
1998,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,6.5
1998,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,3.8
1998,data.domesticmaterialconsumptionperunitofgdp,data.total,109.5
1998,data.domesticmaterialconsumptionperunitofgdp,data.biomass,47.9
1998,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,0.4
1998,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,38.6
1998,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,22.7
1999,data.domesticmaterialconsumption,data.total,876.2
1999,data.domesticmaterialconsumption,data.biomass,364.7
1999,data.domesticmaterialconsumption,data.metallicminerals,3.8
1999,data.domesticmaterialconsumption,data.non-metallicminerals,311.0
1999,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,196.6
1999,data.domesticmaterialconsumptionpercapita,data.total,19.4
1999,data.domesticmaterialconsumptionpercapita,data.biomass,8.1
1999,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.1
1999,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,6.9
1999,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,4.4
1999,data.domesticmaterialconsumptionperunitofgdp,data.total,111.0
1999,data.domesticmaterialconsumptionperunitofgdp,data.biomass,46.2
1999,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,0.5
1999,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,39.4
1999,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,24.9
2000,data.domesticmaterialconsumption,data.total,1134.9
2000,data.domesticmaterialconsumption,data.biomass,430.5
2000,data.domesticmaterialconsumption,data.metallicminerals,5.5
2000,data.domesticmaterialconsumption,data.non-metallicminerals,497.4
2000,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,201.4
2000,data.domesticmaterialconsumptionpercapita,data.total,24.8
2000,data.domesticmaterialconsumptionpercapita,data.biomass,9.4
2000,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.1
2000,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,10.9
2000,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,4.4
2000,data.domesticmaterialconsumptionperunitofgdp,data.total,131.4
2000,data.domesticmaterialconsumptionperunitofgdp,data.biomass,49.9
2000,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,0.6
2000,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,57.6
2000,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,23.3
2001,data.domesticmaterialconsumption,data.total,1171.6
2001,data.domesticmaterialconsumption,data.biomass,478.7
2001,data.domesticmaterialconsumption,data.metallicminerals,7.2
2001,data.domesticmaterialconsumption,data.non-metallicminerals,467.5
2001,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,218.2
2001,data.domesticmaterialconsumptionpercapita,data.total,25.2
2001,data.domesticmaterialconsumptionpercapita,data.biomass,10.3
2001,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.2
2001,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,10.0
2001,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,4.7
2001,data.domesticmaterialconsumptionperunitofgdp,data.total,121.1
2001,data.domesticmaterialconsumptionperunitofgdp,data.biomass,49.5
2001,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,0.7
2001,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,48.3
2001,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,22.6
2002,data.domesticmaterialconsumption,data.total,1121.0
2002,data.domesticmaterialconsumption,data.biomass,467.9
2002,data.domesticmaterialconsumption,data.metallicminerals,5.3
2002,data.domesticmaterialconsumption,data.non-metallicminerals,456.6
2002,data.domesticmaterialconsumption,data.fossilenergyandotherproducts,191.2
2002,data.domesticmaterialconsumptionpercapita,data.total,23.7
2002,data.domesticmaterialconsumptionpercapita,data.biomass,9.9
2002,data.domesticmaterialconsumptionpercapita,data.metallicminerals,0.1
2002,data.domesticmaterialconsumptionpercapita,data.non-metallicminerals,9.7
2002,data.domesticmaterialconsumptionpercapita,data.fossilenergyandotherproducts,4.0
2002,data.domesticmaterialconsumptionperunitofgdp,data.total,111.2
2002,data.domesticmaterialconsumptionperunitofgdp,data.biomass,46.4
2002,data.domesticmaterialconsumptionperunitofgdp,data.metallicminerals,0.5
2002,data.domesticmaterialconsumptionperunitofgdp,data.non-metallicminerals,45.3
2002,data.domesticmaterialconsumptionperunitofgdp,data.fossilenergyandotherproducts,19.0
2003,data.domesticmaterialconsumption,data.total,1183.3
2003,data.domesticmaterialconsumption,data.biomass,565.8
2003,data.domesticmaterialconsumption,data.metallicminerals,5.1
