Year,sex,age,Series,Units,data.sex,data.age,Value
2015,,Y15-74,SL_TLF_UEM,PCT,,,3.3
2016,,Y15-74,SL_TLF_UEM,PCT,,,3.5
2017,,Y15-74,SL_TLF_UEM,PCT,,,2.5
2018,,Y15-74,SL_TLF_UEM,PCT,,,1.8
2019,,Y15-74,SL_TLF_UEM,PCT,,,1.3
2020,,Y15-74,SL_TLF_UEM,PCT,,,1.7
2021,,Y15-74,SL_TLF_UEM,PCT,,,2.1
2022,,Y15-74,SL_TLF_UEM,PCT,,,2.0
2015,,Y15-24,SL_TLF_UEM,PCT,,,7.2
2016,,Y15-24,SL_TLF_UEM,PCT,,,8.5
2017,,Y15-24,SL_TLF_UEM,PCT,,,6.2
2018,,Y15-24,SL_TLF_UEM,PCT,,,4.5
2019,,Y15-24,SL_TLF_UEM,PCT,,,3.2
2020,,Y15-24,SL_TLF_UEM,PCT,,,3.4
2021,,Y15-24,SL_TLF_UEM,PCT,,,6.0
2022,,Y15-24,SL_TLF_UEM,PCT,,,6.3
2015,,Y25-54,SL_TLF_UEM,PCT,,,2.6
2016,,Y25-54,SL_TLF_UEM,PCT,,,2.6
2017,,Y25-54,SL_TLF_UEM,PCT,,,1.9
2018,,Y25-54,SL_TLF_UEM,PCT,,,1.4
2019,,Y25-54,SL_TLF_UEM,PCT,,,1.0
2020,,Y25-54,SL_TLF_UEM,PCT,,,1.5
2021,,Y25-54,SL_TLF_UEM,PCT,,,1.4
2022,,Y25-54,SL_TLF_UEM,PCT,,,1.2
2015,,Y55-74,SL_TLF_UEM,PCT,,,2.1
2016,,Y55-74,SL_TLF_UEM,PCT,,,2.1
2017,,Y55-74,SL_TLF_UEM,PCT,,,1.4
2018,,Y55-74,SL_TLF_UEM,PCT,,,1.0
2019,,Y55-74,SL_TLF_UEM,PCT,,,0.6
2020,,Y55-74,SL_TLF_UEM,PCT,,,1.3
2021,,Y55-74,SL_TLF_UEM,PCT,,,0.9
2022,,Y55-74,SL_TLF_UEM,PCT,,,1.5
2015,M,Y15-74,SL_TLF_UEM,PCT,,,3.0
2016,M,Y15-74,SL_TLF_UEM,PCT,,,3.4
2017,M,Y15-74,SL_TLF_UEM,PCT,,,2.1
2018,M,Y15-74,SL_TLF_UEM,PCT,,,1.8
2019,M,Y15-74,SL_TLF_UEM,PCT,,,1.1
2020,M,Y15-74,SL_TLF_UEM,PCT,,,1.7
2021,M,Y15-74,SL_TLF_UEM,PCT,,,2.5
2022,M,Y15-74,SL_TLF_UEM,PCT,,,2.3
2015,M,Y15-24,SL_TLF_UEM,PCT,,,6.9
2016,M,Y15-24,SL_TLF_UEM,PCT,,,9.1
2017,M,Y15-24,SL_TLF_UEM,PCT,,,5.6
2018,M,Y15-24,SL_TLF_UEM,PCT,,,4.6
2019,M,Y15-24,SL_TLF_UEM,PCT,,,3.4
2020,M,Y15-24,SL_TLF_UEM,PCT,,,3.6
2021,M,Y15-24,SL_TLF_UEM,PCT,,,6.7
2022,M,Y15-24,SL_TLF_UEM,PCT,,,6.8
2015,M,Y25-54,SL_TLF_UEM,PCT,,,2.3
2016,M,Y25-54,SL_TLF_UEM,PCT,,,2.3
2017,M,Y25-54,SL_TLF_UEM,PCT,,,1.5
