Year,Value,Units,Series,GeoCode
2009,4.0,,,
2010,4.2,,,
2011,4.4,,,
2012,4.7,,,
2013,3.8,,,
2014,3.5,,,
2015,3.4,,,
2016,3.2,,,
2017,3.0,,,
2018,2.9,,,
2019,2.6,,,
2020,2.4,,,
2021,2.6,,,
2022,2.5,,,
2023,2.5,,,
2009,4.0,PCT,SI_POV_NAHC,
2010,4.2,PCT,SI_POV_NAHC,
2011,4.4,PCT,SI_POV_NAHC,
2012,4.8,PCT,SI_POV_NAHC,
2013,4.0,PCT,SI_POV_NAHC,
2014,3.6,PCT,SI_POV_NAHC,
2015,3.4,PCT,SI_POV_NAHC,
2016,3.2,PCT,SI_POV_NAHC,
2017,3.1,PCT,SI_POV_NAHC,
2018,3.0,PCT,SI_POV_NAHC,
2019,2.7,PCT,SI_POV_NAHC,
2020,2.4,PCT,SI_POV_NAHC,
2021,2.6,PCT,SI_POV_NAHC,
2022,2.5,PCT,SI_POV_NAHC,
