Year,Value,Units,Series
1993,0.8849944875,NO,RL_INDEX
1994,0.90887532125,NO,RL_INDEX
1995,0.85447866916667,NO,RL_INDEX
1996,0.8851053875,NO,RL_INDEX
1997,0.907572354375,NO,RL_INDEX
1998,0.85164644104167,NO,RL_INDEX
1999,0.88525798125,NO,RL_INDEX
2000,0.90628149416667,NO,RL_INDEX
2001,0.849285105,NO,RL_INDEX
2002,0.88415129583333,NO,RL_INDEX
2003,0.90496099770833,NO,RL_INDEX
2004,0.84665165083333,NO,RL_INDEX
2005,0.88356944375,NO,RL_INDEX
2006,0.9043829125,NO,RL_INDEX
2007,0.845633980625,NO,RL_INDEX
2008,0.88519659225665,NO,RL_INDEX
2009,0.90588592213919,NO,RL_INDEX
2010,0.84069621875,NO,RL_INDEX
2011,0.88588287581465,NO,RL_INDEX
2012,0.91006521098186,NO,RL_INDEX
2013,0.83796408625,NO,RL_INDEX
2014,0.88456322541057,NO,RL_INDEX
2015,0.91214148729907,NO,RL_INDEX
2016,0.83797469909369,NO,RL_INDEX
2017,0.88467982359872,NO,RL_INDEX
2018,0.91777159101086,NO,RL_INDEX
2019,0.83215731638101,NO,RL_INDEX
2020,0.88570795904019,NO,RL_INDEX
