Year,Value,Units,Series
2003,41,PCT,SH_PRV_SMOK
2004,36,PCT,SH_PRV_SMOK
2005,32,PCT,SH_PRV_SMOK
2006,33,PCT,SH_PRV_SMOK
2007,28,PCT,SH_PRV_SMOK
2008,33,PCT,SH_PRV_SMOK
2009,34,PCT,SH_PRV_SMOK
2010,27,PCT,SH_PRV_SMOK
2011,34,PCT,SH_PRV_SMOK
2012,29,PCT,SH_PRV_SMOK
2013,33,PCT,SH_PRV_SMOK
2014,27,PCT,SH_PRV_SMOK
2015,27,PCT,SH_PRV_SMOK
2016,34,PCT,SH_PRV_SMOK
2017,27,PCT,SH_PRV_SMOK
2018,26,PCT,SH_PRV_SMOK
2019,29,PCT,SH_PRV_SMOK
2020,31,PCT,SH_PRV_SMOK
2021,26,PCT,SH_PRV_SMOK
2022,27,PCT,SH_PRV_SMOK
