Year,Value,Units
2010,847.7,data.fulltimeequivalent
2010,174.9,data.per10000population
2011,838.3,data.fulltimeequivalent
2011,173.6,data.per10000population
2012,850.5,data.fulltimeequivalent
2012,176.8,data.per10000population
2013,850.6,data.fulltimeequivalent
2013,176.9,data.per10000population
2014,850.4,data.fulltimeequivalent
2014,175.9,data.per10000population
2015,832.4,data.fulltimeequivalent
2015,170.4,data.per10000population
2016,856.4,data.fulltimeequivalent
2016,173.2,data.per10000population
2017,848.1,data.fulltimeequivalent
2017,169.2,data.per10000population
2018,896.3,data.fulltimeequivalent
2018,176.2,data.per10000population
2019,912.5,data.fulltimeequivalent
2019,176.6,data.per10000population
2020,964.3,data.fulltimeequivalent
2020,183.8,data.per10000population
2021,999.8,data.fulltimeequivalent
2021,187.9,data.per10000population
