Year,Value,Units
1998,886.67,data.domesticmaterialconsumption
1998,19.93,data.domesticmaterialconsumptionpercapita
1998,,data.domesticmaterialconsumptionperunitofgdp
1998,,data.domesticmaterialconsumptionperunitofrealgdp
1999,933.86,data.domesticmaterialconsumption
1999,20.73,data.domesticmaterialconsumptionpercapita
1999,118.71,data.domesticmaterialconsumptionperunitofgdp
1999,,data.domesticmaterialconsumptionperunitofrealgdp
2000,1161.35,data.domesticmaterialconsumption
2000,25.39,data.domesticmaterialconsumptionpercapita
2000,134.64,data.domesticmaterialconsumptionperunitofgdp
2000,,data.domesticmaterialconsumptionperunitofrealgdp
2001,1209.51,data.domesticmaterialconsumption
2001,25.99,data.domesticmaterialconsumptionpercapita
2001,125.25,data.domesticmaterialconsumptionperunitofgdp
2001,,data.domesticmaterialconsumptionperunitofrealgdp
2002,1162.68,data.domesticmaterialconsumption
2002,24.58,data.domesticmaterialconsumptionpercapita
2002,115.5,data.domesticmaterialconsumptionperunitofgdp
2002,,data.domesticmaterialconsumptionperunitofrealgdp
2003,1224.66,data.domesticmaterialconsumption
2003,25.57,data.domesticmaterialconsumptionpercapita
2003,123.77,data.domesticmaterialconsumptionperunitofgdp
2003,,data.domesticmaterialconsumptionperunitofrealgdp
2004,1180.28,data.domesticmaterialconsumption
2004,24.48,data.domesticmaterialconsumptionpercapita
2004,114.22,data.domesticmaterialconsumptionperunitofgdp
2004,,data.domesticmaterialconsumptionperunitofrealgdp
2005,1237.51,data.domesticmaterialconsumption
2005,25.67,data.domesticmaterialconsumptionpercapita
2005,117.27,data.domesticmaterialconsumptionperunitofgdp
2005,,data.domesticmaterialconsumptionperunitofrealgdp
2006,1407.43,data.domesticmaterialconsumption
2006,29.21,data.domesticmaterialconsumptionpercapita
2006,117.3,data.domesticmaterialconsumptionperunitofgdp
2006,,data.domesticmaterialconsumptionperunitofrealgdp
2007,1662.55,data.domesticmaterialconsumption
2007,34.43,data.domesticmaterialconsumptionpercapita
2007,130.57,data.domesticmaterialconsumptionperunitofgdp
2007,,data.domesticmaterialconsumptionperunitofrealgdp
2008,1561.2,data.domesticmaterialconsumption
2008,32.22,data.domesticmaterialconsumptionpercapita
2008,122.99,data.domesticmaterialconsumptionperunitofgdp
2008,113.27,data.domesticmaterialconsumptionperunitofrealgdp
2009,926.84,data.domesticmaterialconsumption
2009,19.09,data.domesticmaterialconsumptionpercapita
2009,75.3,data.domesticmaterialconsumptionperunitofgdp
2009,70.27,data.domesticmaterialconsumptionperunitofrealgdp
2010,831.08,data.domesticmaterialconsumption
2010,17.15,data.domesticmaterialconsumptionpercapita
2010,63.37,data.domesticmaterialconsumptionperunitofgdp
2010,63.37,data.domesticmaterialconsumptionperunitofrealgdp
2011,935.44,data.domesticmaterialconsumption
2011,19.37,data.domesticmaterialconsumptionpercapita
2011,69.54,data.domesticmaterialconsumptionperunitofgdp
2011,68.78,data.domesticmaterialconsumptionperunitofrealgdp
2012,943.66,data.domesticmaterialconsumption
2012,19.62,data.domesticmaterialconsumptionpercapita
2012,67.12,data.domesticmaterialconsumptionperunitofgdp
2012,64.84,data.domesticmaterialconsumptionperunitofrealgdp
2013,1090.18,data.domesticmaterialconsumption
2013,22.68,data.domesticmaterialconsumptionpercapita
2013,72.16,data.domesticmaterialconsumptionperunitofgdp
2013,70.76,data.domesticmaterialconsumptionperunitofrealgdp
2014,1468.98,data.domesticmaterialconsumption
2014,30.38,data.domesticmaterialconsumptionpercapita
2014,89.82,data.domesticmaterialconsumptionperunitofgdp
2014,90.43,data.domesticmaterialconsumptionperunitofrealgdp
2015,1222.53,data.domesticmaterialconsumption
2015,25.03,data.domesticmaterialconsumptionpercapita
2015,70.6,data.domesticmaterialconsumptionperunitofgdp
2015,74.53,data.domesticmaterialconsumptionperunitofrealgdp
2016,1356.83,data.domesticmaterialconsumption
2016,27.44,data.domesticmaterialconsumptionpercapita
2016,71.65,data.domesticmaterialconsumptionperunitofgdp
2016,81.52,data.domesticmaterialconsumptionperunitofrealgdp
2017,1617.55,data.domesticmaterialconsumption
2017,32.27,data.domesticmaterialconsumptionpercapita
2017,82.21,data.domesticmaterialconsumptionperunitofgdp
2017,93.89,data.domesticmaterialconsumptionperunitofrealgdp
2018,1579.56,data.domesticmaterialconsumption
2018,31.05,data.domesticmaterialconsumptionpercapita
2018,78.45,data.domesticmaterialconsumptionperunitofgdp
2018,89.25,data.domesticmaterialconsumptionperunitofrealgdp
2019,1614.53,data.domesticmaterialconsumption
2019,31.24,data.domesticmaterialconsumptionpercapita
2019,73.9,data.domesticmaterialconsumptionperunitofgdp
2019,86.92,data.domesticmaterialconsumptionperunitofrealgdp
2020,1857.88,data.domesticmaterialconsumption
2020,35.4,data.domesticmaterialconsumptionpercapita
2020,87.42,data.domesticmaterialconsumptionperunitofgdp
2020,102.72,data.domesticmaterialconsumptionperunitofrealgdp
