Year,Value,Units,Series
1998,2.32699175830545,PCT,NV_IND_TECH
1999,3.7998530260583,PCT,NV_IND_TECH
2000,5.36332621525315,PCT,NV_IND_TECH
2001,4.45293730114098,PCT,NV_IND_TECH
2002,5.14016447318537,PCT,NV_IND_TECH
2003,5.04575792428679,PCT,NV_IND_TECH
2004,4.47844646246213,PCT,NV_IND_TECH
2005,4.07879436719429,PCT,NV_IND_TECH
2006,3.78330991998406,PCT,NV_IND_TECH
2007,4.14659972318964,PCT,NV_IND_TECH
2008,4.00857027894358,PCT,NV_IND_TECH
2009,3.45976818303119,PCT,NV_IND_TECH
2010,2.510576143741,PCT,NV_IND_TECH
2011,2.23622389586501,PCT,NV_IND_TECH
2012,2.15978735117058,PCT,NV_IND_TECH
2013,2.04425922856031,PCT,NV_IND_TECH
2014,1.98471019419211,PCT,NV_IND_TECH
2015,1.90407229537808,PCT,NV_IND_TECH
2016,2.43932236847855,PCT,NV_IND_TECH
2017,2.11682862649783,PCT,NV_IND_TECH
2018,2.52266100145839,PCT,NV_IND_TECH
2019,2.015394746242,PCT,NV_IND_TECH
2020,2.64234739604957,PCT,NV_IND_TECH
2021,2.39381993036861,PCT,NV_IND_TECH
