Value,Disaggregation combinations using this value,Number of indicators
00-17years,2,1
1.2,1,1
1.4,1,1
18-24years,2,1
1.9,2,1
2.0,2,1
2.1,2,1
2.2,1,1
2.3,2,1
2.4,2,1
25-54years,2,1
2.6,2,1
2.7,3,1
2.9,1,1
3.0,1,1
3.1,3,1
3.2,2,1
3.3,2,1
3.4,1,1
3.5,1,1
3.6,1,1
3.7,1,1
3.8,2,1
4.1,1,1
4.3,1,1
4.4,1,1
4.6,1,1
4.7,1,1
55-66years,2,1
67years,2,1
data.00-14years,1,1
data.00-17years,3,1
data.10-14years,1,1
data.15-17years,1,1
data.15-19years,4,2
data.15-24years,15,3
data.18-24years,3,1
data.20-24years,3,1
data.25-44years,9,1
data.25-54years,6,2
data.45-54years,9,1
data.55-64years,9,1
data.55-66years,3,1
data.55-74years,3,1
data.67years,3,1
data.ge15years,9,1
data.ge65years,9,1
"data.male,00-17years""",12,1
