Value,Disaggregation combinations using this value,Number of indicators
data.annualbroadmoneygrowth,1,1
data.annualGDPgrowth,1,1
data.annualgrowthofexportsofgoodsandservices,1,1
data.annualgrowthofhouseholdsandNPISHs,1,1
data.annualgrowthofimportsofgoodsandservices,1,1
data.annualgrowthofthegeneralgovernmentfinalconsumptionexpenditure,1,1
data.annualgrowthofthegrosscapitalformation,1,1
data.annualinflationconsumerprices,1,1
data.bankcapitaltoassetsratio,1,1
data.banknonperformingloans,1,1
data.broadmoney,1,1
data.cashsurplusdeficit,1,1
data.chlorophyll-aanomalyremotesensing,3,1
data.chlorophyll-adeviationsremotesensing,1,1
data.currentaccountbalance,1,1
data.debtservice,1,1
data.DECalternativeconversionfactor,1,1
data.disasterrelief,1,1
data.externaldebtstocks,1,1
data.foreigndirectinvestment,1,1
data.grossPSD,1,1
data.manufacturingvalueaddedasaproportionofgdp,1,1
data.manufacturingvalueaddedpercapita,1,1
data.merchandisetrade,1,1
data.netofficialdevelopmentassistance,1,1
data.officialdevelopmentassistance,1,1
data.officialdevelopmentassistanceforscholarships,1,1
data.personalremittances,1,1
data.portfolioinvestment,1,1
data.reservesinmonthsofimports,1,1
data.skopunnutrients,1,1
data.taxrevenuegdp,1,1
data.tm_tax_dmfn,6,1
data.tm_tax_dprf,6,1
data.totalunemploymentoutoftotallabourforce,1,1
