Value,Disaggregation combinations using this value,Number of indicators
0,1,1
1005,1,1
1008,1,1
1014,1,1
1026,1,1
1033,1,1
1037,1,1
1038,1,1
1039,1,1
1050,1,1
1054,1,1
113,1,1
115,2,1
117,1,1
120,1,1
121,1,1
126,2,1
127,1,1
128,1,1
129,1,1
130,1,1
132,2,1
133,2,1
137,1,1
1394,1,1
141,1,1
1417,1,1
1432,1,1
1438,1,1
1454,1,1
146,1,1
1473,1,1
1474,1,1
1489,1,1
1492,1,1
1502,1,1
224,1,1
233,1,1
238,1,1
244,1,1
253,1,1
260,1,1
262,1,1
270,1,1
277,1,1
283,1,1
39,1,1
44,1,1
46,1,1
484,1,1
486,1,1
495,1,1
496,1,1
499,1,1
501,1,1
509,1,1
51,1,1
513,1,1
522,1,1
536,1,1
553,1,1
56,1,1
57,1,1
58,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
68,1,1
69,1,1
692,1,1
698,1,1
708,1,1
711,1,1
712,1,1
716,1,1
720,1,1
723,1,1
728,1,1
752,1,1
789,1,1
80,1,1
91,1,1
95,1,1
97,1,1
996,1,1
