Value,Disaggregation combinations using this value,Number of indicators
all-municipalities,3,1
all-parties,3,1
biggjarmunicipality,3,1
christianparty,3,1
conservativeparty,3,1
eidismunicipality,3,1
elduvikarmunicipality,3,1
eysturmunicipality,3,1
famjinsmunicipality,3,1
fuglafjardarmunicipality,3,1
fugloyarmunicipality,3,1
funningsmunicipality,3,1
gjaarmunicipality,3,1
gotumunicipality,3,1
haldorsvikarmunicipality,3,1
hestsmunicipality,3,1
hosvikarmunicipality,3,1
hovsmunicipality,3,1
husamunicipality,3,1
husavikarmunicipality,3,1
hvalbiarmunicipality,3,1
hvalvikarmunicipality,3,1
hvannasundsmunicipality,3,1
independenceparty,3,1
kirkjuboarmunicipality,3,1
klaksvikarmunicipality,3,1
kunoyarmunicipality,3,1
kvivikarmunicipality,3,1
leirvikarmunicipality,3,1
midvagsmunicipality,3,1
mikladalsmunicipality,3,1
mykinesmunicipality,3,1
nesmunicipality,3,1
nolsoyarmunicipality,3,1
oyndarfjardarmunicipality,3,1
porkerismunicipality,3,1
progress,3,1
republicanparty,3,1
runavikarmunicipality,3,1
saksunarmunicipality,3,1
sandavagsmunicipality,3,1
sandsmunicipality,3,1
sjovarmunicipality,3,1
skalamunicipality,3,1
skalavikarmunicipality,3,1
skopunarmunicipality,3,1
skugvoyarmunicipality,3,1
socialdemocraticparty,3,1
sorvagsmunicipality,3,1
sumbiarmunicipality,3,1
sundamunicipality,3,1
svinoyarmunicipality,3,1
thecentreparty,3,1
theprogressparty,3,1
torshavnarmunicipality,3,1
tvoroyrarmunicipality,3,1
unionistparty,3,1
vagamunicipality,3,1
vagsmunicipality,3,1
vestmannamunicipality,3,1
vidareidismunicipality,3,1
workersmovement,3,1
