Value,Disaggregation combinations using this value,Number of indicators
data.female,47,9
data.male,41,8
"data.male,18-24years""",12,1
"data.male,"",2.2
2020""",1,1
"data.male,"",2.4
2019""",1,1
"data.male,25-54years""",9,1
"data.male,"",2.8
2018""",1,1
"data.male,"",3.1
2017""",1,1
"data.male,"",3.2
2016""",1,1
"data.male,"",3.5
2010""",1,1
"data.male,"",3.6
2015""",1,1
"data.male,"",3.7
2009""",1,1
"data.male,"",3.7
2011""",1,1
"data.male,"",3.7
2014""",1,1
"data.male,"",3.8
2013""",1,1
"data.male,"",4.0
2012""",1,1
"data.male,55-66years""",8,1
"data.male,67years""",9,1
