Value,Disaggregation combinations using this value,Number of indicators
4101,3,1
4102,3,1
4103,3,1
4104,3,1
4105,3,1
4106,3,1
4107,3,1
4108,3,1
4201,3,1
4202,3,1
4203,3,1
4204,3,1
4205,3,1
4205E,3,1
4206,3,1
4207,3,1
4208,3,1
4209,3,1
4210,3,1
4211,3,1
4212,3,1
4213,3,1
4301,3,1
4302,3,1
4303,3,1
4304,3,1
4305,3,1
4306,3,1
4307,3,1
4308,3,1
4309,3,1
4310,3,1
4311,3,1
4401,3,1
4402,3,1
4402V,3,1
4403,3,1
4404,3,1
4405,3,1
4501,3,1
4502,3,1
4503,3,1
4504,3,1
4505,3,1
4601,3,1
4602,3,1
4603,3,1
4604,3,1
4605,3,1
4606,3,1
4607,3,1
4701,3,1
9999,3,1
A,3,1
B,3,1
C,3,1
D,3,1
E,3,1
F,3,1
FBF,3,1
H,3,1
KF,3,1
TOT,3,1
vmf,3,1
